|Delta|p_value|Std|P_avg|N_min
bertrand_dqn_N_1_base_1.csv|-0.68|0.0|0.62|1.78|0
bertrand_dqn_N_2_base_1.csv|-0.74|0.0|0.28|1.74|0
bertrand_dqn_altruist_1.csv|-1.02|0.06|1.62|1.59|0
bertrand_dqn_train-test_1.csv|-1.25|0.23|1.56|1.65|0
bertrand_dqn_deviate_1.csv|-1.33|0.34|1.64|1.62|0
bertrand_dqn_rho_2_base_1.csv|-1.33|0.33|1.53|1.84|0
bertrand_dqn_rho_1_base_1.csv|-1.51|0.69|1.62|1.81|0
bertrand_dqn_gamma_1_base_1.csv|-1.64|0.99|1.66|1.74|0
bertrand_dqn_gamma_2_base_1.csv|-1.64|0.99|1.66|1.74|0
bertrand_dqn_k_1_base_1.csv|-1.64|1.0|1.66|1.74|0
bertrand_dqn_k_2_base_1.csv|-1.64|0.99|1.66|1.74|0
bertrand_dqn_lr_1_base_1.csv|-1.64|1.0|1.66|1.74|0
bertrand_dqn_lr_2_base_1.csv|-1.64|0.99|1.66|1.74|0
bertrand_dqn_base_1.csv|-1.65|1.0|1.66|1.74|0
bertrand_dqn_default_1.csv|-1.65|1.0|1.66|1.74|0
